1;1;S;1;1;1;1;1;1;1;1;1;1;0;0;0;0
1;4;0;4;1;0;0;0;0;0;0;0;1;0;0;0;0
1;0;0;0;C;0;0;0;0;0;0;0;O;0;0;0;0
1;4;0;4;1;0;0;0;0;0;0;0;1;0;0;0;0
1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1
1;0;0;0;0;3;0;3;0;0;0;0;1;0;0;0;1
F;0;0;0;0;0;0;0;0;0;0;0;P;0;0;0;1
1;0;0;0;0;3;0;3;0;0;0;0;1;0;0;0;1
1;0;0;0;1;1;U;1;1;0;0;0;1;0;0;0;1
1;0;0;0;0;0;0;0;1;0;0;0;0;4;0;4;1
1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;H
1;0;0;0;0;0;0;0;1;0;0;0;0;4;0;4;1
1;1;1;1;1;0;0;0;1;0;0;0;1;1;1;1;1
1;5;0;5;0;0;0;0;0;0;0;0;0;2;0;2;1
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1;5;0;5;0;0;0;0;0;0;0;0;0;2;0;2;1
1;1;1;1;1;1;F;1;1;1;1;1;1;1;1;1;1
